year,source_period,geography,country_or_area,african_subregion,population,margin_of_error,source_symbol,unit,measure_scope,value_status,coverage_status,subregion_assignment_status,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1990,1990,Bergen County,Ethiopia,Eastern Africa,89,,,persons,foreign_born_population,reported,selected_published_countries_only,retrospective_mapping_from_later_census_hierarchy,foreign_born_country_of_birth_ethiopia,Africa,Ethiopia,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-175,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
1990,1990,Bergen County,Egypt,Northern Africa,1125,,,persons,foreign_born_population,reported,selected_published_countries_only,retrospective_mapping_from_later_census_hierarchy,foreign_born_country_of_birth_egypt,Africa,Egypt,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-174,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
1990,1990,Bergen County,Morocco,Northern Africa,133,,,persons,foreign_born_population,reported,selected_published_countries_only,retrospective_mapping_from_later_census_hierarchy,foreign_born_country_of_birth_morocco,Africa,Morocco,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-177,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
1990,1990,Bergen County,South Africa,Southern Africa,290,,,persons,foreign_born_population,reported,selected_published_countries_only,retrospective_mapping_from_later_census_hierarchy,foreign_born_country_of_birth_south_africa,Africa,South Africa,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-179,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
1990,1990,Bergen County,Cape Verde,Western Africa,,,—,persons,foreign_born_population,source_dash_no_numeric_value,selected_published_countries_only,retrospective_mapping_from_later_census_hierarchy,foreign_born_country_of_birth_cape_verde,Africa,Cape Verde,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-173,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Dash shown in source; numeric value left blank. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
1990,1990,Bergen County,Ghana,Western Africa,87,,,persons,foreign_born_population,reported,selected_published_countries_only,retrospective_mapping_from_later_census_hierarchy,foreign_born_country_of_birth_ghana,Africa,Ghana,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-176,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
1990,1990,Bergen County,Nigeria,Western Africa,59,,,persons,foreign_born_population,reported,selected_published_countries_only,retrospective_mapping_from_later_census_hierarchy,foreign_born_country_of_birth_nigeria,Africa,Nigeria,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-178,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2000,2000,Bergen County,Ethiopia,Eastern Africa,37,,,persons,foreign_born_population,reported,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_ethiopia,Africa > Eastern Africa,Ethiopia,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-080,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"SF3 sample data; n.e.c. = not elsewhere classified. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2000,2000,Bergen County,Egypt,Northern Africa,2151,,,persons,foreign_born_population,reported,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_egypt,Africa > Northern Africa,Egypt,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-084,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"SF3 sample data; n.e.c. = not elsewhere classified. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2000,2000,Bergen County,South Africa,Southern Africa,364,,,persons,foreign_born_population,reported,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_south_africa,Africa > Southern Africa,South Africa,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-087,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"SF3 sample data; n.e.c. = not elsewhere classified. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2000,2000,Bergen County,Ghana,Western Africa,531,,,persons,foreign_born_population,reported,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_ghana,Africa > Western Africa,Ghana,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-090,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"SF3 sample data; n.e.c. = not elsewhere classified. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2000,2000,Bergen County,Nigeria,Western Africa,415,,,persons,foreign_born_population,reported,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_nigeria,Africa > Western Africa,Nigeria,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-091,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"SF3 sample data; n.e.c. = not elsewhere classified. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2000,2000,Bergen County,Sierra Leone,Western Africa,74,,,persons,foreign_born_population,reported,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_sierra_leone,Africa > Western Africa,Sierra Leone,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-092,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"SF3 sample data; n.e.c. = not elsewhere classified. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Eritrea,Eastern Africa,0,123,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_eastern_africa_eritrea,Africa > Eastern Africa,Estimate!!Total!!Africa!!Eastern Africa!!Eritrea,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-093,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=123; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Ethiopia,Eastern Africa,133,93,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_ethiopia,Africa > Eastern Africa,Estimate!!Total!!Africa!!Eastern Africa!!Ethiopia,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-094,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=93; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Kenya,Eastern Africa,168,100,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_eastern_africa_kenya,Africa > Eastern Africa,Estimate!!Total!!Africa!!Eastern Africa!!Kenya,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-095,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=100; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Cameroon,Middle Africa,42,69,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_middle_africa_cameroon,Africa > Middle Africa,Estimate!!Total!!Africa!!Middle Africa!!Cameroon,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-098,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=69; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
