year,source_period,rank,country_or_area,population,margin_of_error,unit,measure_scope,coverage_status,notes,publication,source_file,official_source_url,crosswalk_id
2010,2006-2010,1,Egypt,2624,539,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 279, below the fifth-ranked named country (295), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-101
2010,2006-2010,2,Ghana,487,165,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 279, below the fifth-ranked named country (295), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-110
2010,2006-2010,3,South Africa,410,127,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 279, below the fifth-ranked named country (295), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-106
2010,2006-2010,4,Nigeria,371,218,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 279, below the fifth-ranked named country (295), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-112
2010,2006-2010,5,Morocco,295,148,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 279, below the fifth-ranked named country (295), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-102
2020,2016-2020,1,Egypt,2509,524,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 482, below the fifth-ranked named country (530), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-101
2020,2016-2020,2,Ghana,1149,437,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 482, below the fifth-ranked named country (530), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-109
2020,2016-2020,3,Nigeria,745,223,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 482, below the fifth-ranked named country (530), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-111
2020,2016-2020,4,South Africa,592,267,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 482, below the fifth-ranked named country (530), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-106
2020,2016-2020,5,Kenya,530,281,persons,foreign_born_population,acs_estimate_top5_stable,"ACS five-year estimate; rank is based on the point estimate. The largest subregional residual is 482, below the fifth-ranked named country (530), so it cannot conceal a country large enough to alter the point-estimate top five. Africa n.e.c. is not treated as a country. Overlapping margins of error mean close rank positions are not statistically conclusive.",2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-095
