year,source_period,geography,african_subregion,population,margin_of_error,unit,measure_scope,value_status,coverage_status,publication,table,variable_id,source_file,official_source_url,notes
2000,2000,Bergen County,Eastern Africa,564,,persons,foreign_born_population,published_total,complete_published_subregion_set_excludes_africa_nec,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,PCT019068,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"SF3 sample data. Africa, n.e.c. (198 persons) is excluded because it is a residual rather than a subregion."
2000,2000,Bergen County,Middle Africa,49,,persons,foreign_born_population,published_total,complete_published_subregion_set_excludes_africa_nec,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,PCT019071,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"SF3 sample data. Africa, n.e.c. (198 persons) is excluded because it is a residual rather than a subregion."
2000,2000,Bergen County,Northern Africa,2549,,persons,foreign_born_population,published_total,complete_published_subregion_set_excludes_africa_nec,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,PCT019072,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"SF3 sample data. Africa, n.e.c. (198 persons) is excluded because it is a residual rather than a subregion."
2000,2000,Bergen County,Southern Africa,364,,persons,foreign_born_population,published_total,complete_published_subregion_set_excludes_africa_nec,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,PCT019075,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"SF3 sample data. Africa, n.e.c. (198 persons) is excluded because it is a residual rather than a subregion."
2000,2000,Bergen County,Western Africa,1150,,persons,foreign_born_population,published_total,complete_published_subregion_set_excludes_africa_nec,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,PCT019078,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"SF3 sample data. Africa, n.e.c. (198 persons) is excluded because it is a residual rather than a subregion."
2010,2006-2010,Bergen County,Eastern Africa,580,190,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2006-2010 ACS 5-Year Detailed Tables,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_092E,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (476 persons) is excluded because it is a residual rather than a subregion."
2010,2006-2010,Bergen County,Middle Africa,64,75,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2006-2010 ACS 5-Year Detailed Tables,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_097E,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (476 persons) is excluded because it is a residual rather than a subregion."
2010,2006-2010,Bergen County,Northern Africa,3186,616,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2006-2010 ACS 5-Year Detailed Tables,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_100E,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (476 persons) is excluded because it is a residual rather than a subregion."
2010,2006-2010,Bergen County,Southern Africa,421,126,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2006-2010 ACS 5-Year Detailed Tables,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_105E,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (476 persons) is excluded because it is a residual rather than a subregion."
2010,2006-2010,Bergen County,Western Africa,1398,366,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2006-2010 ACS 5-Year Detailed Tables,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_108E,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (476 persons) is excluded because it is a residual rather than a subregion."
2020,2016-2020,Bergen County,Eastern Africa,1680,471,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2016-2020 ACS 5-Year Estimates,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_092E,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (127 persons) is excluded because it is a residual rather than a subregion."
2020,2016-2020,Bergen County,Middle Africa,318,277,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2016-2020 ACS 5-Year Estimates,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_100E,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (127 persons) is excluded because it is a residual rather than a subregion."
2020,2016-2020,Bergen County,Northern Africa,3240,642,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2016-2020 ACS 5-Year Estimates,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_105E,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (127 persons) is excluded because it is a residual rather than a subregion."
2020,2016-2020,Bergen County,Southern Africa,611,269,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2016-2020 ACS 5-Year Estimates,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_110E,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (127 persons) is excluded because it is a residual rather than a subregion."
2020,2016-2020,Bergen County,Western Africa,2169,574,persons,foreign_born_population,published_estimate,complete_published_subregion_set_excludes_africa_nec,2016-2020 ACS 5-Year Estimates,B05006: Place of Birth for the Foreign-Born Population in the United States,B05006_113E,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"ACS five-year estimate; MOE is Census-published. Africa, n.e.c. (127 persons) is excluded because it is a residual rather than a subregion."
