year,source_period,geography,asian_group,group_type,asian_subregion,hierarchy_level,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,parent_label,source_label,table_id,variable_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1970,1970,Bergen County,Asia,region_total,,0,5020,,persons,foreign_born_population,1970_decennial_sample_broad_origin_categories,foreign_born_country_of_birth_asia,,Asia,NT22,NT22_FB_ASIA,Tabulation 22: Country of Origin and Nativity (15%),BC-1970-031,1970 Census of Population: Fourth Count Population Summary Tape,https://catalog.archives.gov/id/594239,CEN70.CT4CP.NJ.TXT,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Asia is a complete sum of the four Asian-origin categories published in NT22: 2,540 + 637 + 571 + 1,272 = 5,020."
1970,1970,Bergen County,Southwest Asia,historical_region_or_area,,1,2540,,persons,foreign_born_population,1970_decennial_sample_broad_origin_categories,foreign_born_country_of_birth_southwest_asia,Asia (1970 published categories),Southwest Asia,NT22,NT22_FB_SOUTHWEST_ASIA,Tabulation 22: Country of Origin and Nativity (15%),BC-1970-032,1970 Census of Population: Fourth Count Population Summary Tape,https://catalog.archives.gov/id/594239,CEN70.CT4CP.NJ.TXT,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. “Southwest Asia” is the historical Census label and should not automatically be treated as identical to later Western Asia."
1970,1970,Bergen County,China,country_or_area,,1,637,,persons,foreign_born_population,1970_decennial_sample_broad_origin_categories,foreign_born_country_of_birth_china,Asia (1970 published categories),China,NT22,NT22_FB_CHINA,Tabulation 22: Country of Origin and Nativity (15%),BC-1970-033,1970 Census of Population: Fourth Count Population Summary Tape,https://catalog.archives.gov/id/594239,CEN70.CT4CP.NJ.TXT,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Historical China geographic treatment may differ from later tables that separately identify Hong Kong and Taiwan."
1970,1970,Bergen County,Japan,country_or_area,,1,571,,persons,foreign_born_population,1970_decennial_sample_broad_origin_categories,foreign_born_country_of_birth_japan,Asia (1970 published categories),Japan,NT22,NT22_FB_JAPAN,Tabulation 22: Country of Origin and Nativity (15%),BC-1970-034,1970 Census of Population: Fourth Count Population Summary Tape,https://catalog.archives.gov/id/594239,CEN70.CT4CP.NJ.TXT,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,1970,Bergen County,Other Asia,residual_category,,1,1272,,persons,foreign_born_population,1970_decennial_sample_broad_origin_categories,foreign_born_country_of_birth_other_asia,Asia (1970 published categories),Other Asia,NT22,NT22_FB_OTHER_ASIA,Tabulation 22: Country of Origin and Nativity (15%),BC-1970-035,1970 Census of Population: Fourth Count Population Summary Tape,https://catalog.archives.gov/id/594239,CEN70.CT4CP.NJ.TXT,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Residual “Other Asia” cannot be split into individual countries from NT22."
1980,1980,Bergen County,Asia,region_total,,0,20688,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia,,Asia,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-032,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,China,country_or_area,,1,1398,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_china,,China,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-035,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,India,country_or_area,,1,2780,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_india,,India,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-047,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Japan,country_or_area,,1,3625,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_japan,,Japan,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-051,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Korea,country_or_area,,1,2465,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_korea,,Korea,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-052,1980 Census of Population,,1980a_njc-09table172.pdf,,
