year,source_period,rank,country_or_area,population,margin_of_error,unit,measure_scope,coverage_status,notes,publication,source_file,official_source_url,crosswalk_id
1980,1980,1,Japan,3625,,persons,foreign_born_population,partial_named_country_coverage,"Top five among the six separately published Asian countries. The 7,546-person Other Asia residual is larger than every named-country total, so the true top-five national ranking cannot be established.",1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-051
1980,1980,2,India,2780,,persons,foreign_born_population,partial_named_country_coverage,"Top five among the six separately published Asian countries. The 7,546-person Other Asia residual is larger than every named-country total, so the true top-five national ranking cannot be established.",1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-047
1980,1980,3,Philippines,2525,,persons,foreign_born_population,partial_named_country_coverage,"Top five among the six separately published Asian countries. The 7,546-person Other Asia residual is larger than every named-country total, so the true top-five national ranking cannot be established.",1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-059
1980,1980,4,Korea,2465,,persons,foreign_born_population,partial_named_country_coverage,"Top five among the six separately published Asian countries. The 7,546-person Other Asia residual is larger than every named-country total, so the true top-five national ranking cannot be established.",1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-052
1980,1980,5,China,1398,,persons,foreign_born_population,partial_named_country_coverage,"Top five among the six separately published Asian countries. The 7,546-person Other Asia residual is larger than every named-country total, so the true top-five national ranking cannot be established.",1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-035
1990,1990,1,Korea,12240,,persons,foreign_born_population,partial_named_country_coverage_top5_stable,Ranking uses separately published countries. The 750-person Other Asia residual is below the fifth-ranked country total and cannot change the published top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-129
1990,1990,2,Japan,8924,,persons,foreign_born_population,partial_named_country_coverage_top5_stable,Ranking uses separately published countries. The 750-person Other Asia residual is below the fifth-ranked country total and cannot change the published top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-127
1990,1990,3,India,6346,,persons,foreign_born_population,partial_named_country_coverage_top5_stable,Ranking uses separately published countries. The 750-person Other Asia residual is below the fifth-ranked country total and cannot change the published top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-122
1990,1990,4,Philippines,5129,,persons,foreign_born_population,partial_named_country_coverage_top5_stable,Ranking uses separately published countries. The 750-person Other Asia residual is below the fifth-ranked country total and cannot change the published top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-134
1990,1990,5,China,2731,,persons,foreign_born_population,partial_named_country_coverage_top5_stable,Ranking uses separately published countries. The 750-person Other Asia residual is below the fifth-ranked country total and cannot change the published top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-120
