year,source_period,geography,subregion,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,source_label,table_id,variable_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,coverage_status,notes
1990,1990,Bergen County,Eastern Asia,26312,,persons,foreign_born_population,decennial_census_foreign_born_derived_country_sum,foreign_born_country_of_birth_asia_eastern_asia,Derived sum of named 1990 country totals assigned to Eastern Asia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-ASIA-SUBREGION-EASTERN,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,countries_bergen_county_asian_foreign_born_1970_2020.csv,verified_derived_country_sum,derived_partial_lower_bound_98.48pct,"Derived lower-bound sum: China + Hong Kong + Japan + Korea + Taiwan = 26,312. The four reconstructed subregions cover 48,587 of 49,337 Asian foreign-born persons (98.48%); 750 persons in Other Asia cannot be assigned to a subregion. Not a published subregion total."
1990,1990,Bergen County,South Central Asia,8851,,persons,foreign_born_population,decennial_census_foreign_born_derived_country_sum,foreign_born_country_of_birth_asia_south_central_asia,Derived sum of named 1990 country totals assigned to South Central Asia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-ASIA-SUBREGION-SOUTH-CENTRAL,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,countries_bergen_county_asian_foreign_born_1970_2020.csv,verified_derived_country_sum,derived_partial_lower_bound_98.48pct,"Derived lower-bound sum: Afghanistan + India + Iran + Pakistan = 8,851. The four reconstructed subregions cover 48,587 of 49,337 Asian foreign-born persons (98.48%); 750 persons in Other Asia cannot be assigned to a subregion. Not a published subregion total."
1990,1990,Bergen County,South Eastern Asia,6327,,persons,foreign_born_population,decennial_census_foreign_born_derived_country_sum,foreign_born_country_of_birth_asia_south_eastern_asia,Derived sum of named 1990 country totals assigned to South Eastern Asia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-ASIA-SUBREGION-SOUTH-EASTERN,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,countries_bergen_county_asian_foreign_born_1970_2020.csv,verified_derived_country_sum,derived_partial_lower_bound_98.48pct,"Derived lower-bound sum: Burma + Cambodia + Indonesia + Laos + Malaysia + Philippines + Thailand + Vietnam = 6,327. The four reconstructed subregions cover 48,587 of 49,337 Asian foreign-born persons (98.48%); 750 persons in Other Asia cannot be assigned to a subregion. Not a published subregion total."
1990,1990,Bergen County,Western Asia,7097,,persons,foreign_born_population,decennial_census_foreign_born_derived_country_sum,foreign_born_country_of_birth_asia_western_asia,Derived sum of named 1990 country totals assigned to Western Asia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-ASIA-SUBREGION-WESTERN,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,countries_bergen_county_asian_foreign_born_1970_2020.csv,verified_derived_country_sum,derived_partial_lower_bound_98.48pct,"Derived lower-bound sum: Iraq + Israel + Jordan + Lebanon + Saudi Arabia + Syria + Turkey = 7,097. The four reconstructed subregions cover 48,587 of 49,337 Asian foreign-born persons (98.48%); 750 persons in Other Asia cannot be assigned to a subregion. Not a published subregion total."
2000,2000,Bergen County,Eastern Asia,44578,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_eastern_asia,Eastern Asia,PCT19,PCT019033,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-044,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,published_subregion_total,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,South Central Asia,16867,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_south_central_asia,South Central Asia,PCT19,PCT019041,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-052,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,published_subregion_total,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,South Eastern Asia,14038,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_south_eastern_asia,South Eastern Asia,PCT19,PCT019048,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-059,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,published_subregion_total,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Western Asia,12255,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_western_asia,Western Asia,PCT19,PCT019057,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-068,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,published_subregion_total,SF3 sample data; n.e.c. = not elsewhere classified.
2010,2006-2010,Bergen County,Eastern Asia,56771,1799,persons,foreign_born_population,acs_5_year_estimate,foreign_born_country_of_birth_asia_eastern_asia,Estimate!!Total!!Asia!!Eastern Asia,B05006,B05006_048E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-048,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,published_subregion_total,source_period=2006-2010; geoid=05000US34003; margin_of_error=1799; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,South Central Asia,23346,1687,persons,foreign_born_population,acs_5_year_estimate,foreign_born_country_of_birth_asia_south_central_asia,Estimate!!Total!!Asia!!South Central Asia,B05006,B05006_056E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-056,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,published_subregion_total,source_period=2006-2010; geoid=05000US34003; margin_of_error=1687; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
