year,municipality,municipality_type,source_geography_name,geoid,state_fips,county_fips,county_subdivision_fips,total_population,total_population_margin_of_error,foreign_born_population,foreign_born_margin_of_error,foreign_born_percent,data_product,estimate_period,source_table,total_population_variable,foreign_born_variable,source_file,official_source_url,notes
2000,Allendale,borough,"Allendale borough, New Jersey",0600000US3400300700,34,003,00700,6699,,766,,11.43,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Alpine,borough,"Alpine borough, New Jersey",0600000US3400301090,34,003,01090,2183,,594,,27.21,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Bergenfield,borough,"Bergenfield borough, New Jersey",0600000US3400305170,34,003,05170,26247,,8437,,32.14,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Bogota,borough,"Bogota borough, New Jersey",0600000US3400306490,34,003,06490,8249,,1812,,21.97,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Carlstadt,borough,"Carlstadt borough, New Jersey",0600000US3400310480,34,003,10480,5917,,1213,,20.5,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Cliffside Park,borough,"Cliffside Park borough, New Jersey",0600000US3400313570,34,003,13570,23007,,9953,,43.26,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Closter,borough,"Closter borough, New Jersey",0600000US3400313810,34,003,13810,8383,,2119,,25.28,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Cresskill,borough,"Cresskill borough, New Jersey",0600000US3400315820,34,003,15820,7746,,1898,,24.5,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Demarest,borough,"Demarest borough, New Jersey",0600000US3400317530,34,003,17530,4845,,1184,,24.44,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
2000,Dumont,borough,"Dumont borough, New Jersey",0600000US3400318400,34,003,18400,17503,,3253,,18.59,Census 2000 Summary File 3 Demographic Profile (sample),Census 2000 sample data,DP2,DP2_C86,DP2_C98,ProfileDataNJ.ZIP / 2ks34t2.csv,https://www2.census.gov/census_2000/datasets/100_and_sample_profile/New_Jersey/ProfileDataNJ.ZIP,Sample estimate from the Census 2000 long-form profile. The legacy file reports townships at summary level 060 and incorporated municipalities at summary level 160. It does not include margins of error; foreign_born_percent is derived from the two published counts.
