year,source_period,geography,group_order,region_of_birth,population,foreign_born_total,percentage_of_foreign_born_population,percentage_formula,population_margin_of_error,foreign_born_margin_of_error,value_status,coverage_status,population_crosswalk_id,foreign_born_crosswalk_id,source_file,official_source_url,notes
1970,1970,Bergen County,1,Europe,75188,95393,78.8192,population / foreign_born_total * 100,,,derived_complete_total,complete_published_or_reconstructed,BC-1970-036,BC-1970-008,CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1970,1970,Bergen County,2,Asia,5020,95393,5.2624,population / foreign_born_total * 100,,,derived_complete_total,complete_published_or_reconstructed,BC-1970-031,BC-1970-008,CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1970,1970,Bergen County,3,Africa,659,95393,0.6908,population / foreign_born_total * 100,,,reported_summary_tape_total,complete_published_or_reconstructed,BC-1970-037,BC-1970-008,CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1970,1970,Bergen County,4,Latin America,7632,95393,8.0006,population / foreign_born_total * 100,,,derived_historical_proxy,approximate_historical_boundary,BC-1970-LATAM-CONTINENT,BC-1970-008,CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,Latin America is an analytical Census region rather than a continent. Historical proxy and harmonized rows retain their documented boundary caveats.
1970,1970,Bergen County,5,Other Origins,6894,95393,7.2269,population / foreign_born_total * 100,,,derived_balancing_remainder,complete_balancing_remainder,,BC-1970-008,Calculated from the four continent-series CSVs and the foreign-born total CSV,,"Balances the four-group framework to the full foreign-born population. Depending on the period, this includes Northern America, Oceania, born-at-sea records, and other origins outside Europe, Asia, Africa, and Latin America."
1980,1980,Bergen County,1,Europe,66732,114285,58.3909,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-1980-041,BC-1980-105,1980a_njc-09table172.pdf,,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1980,1980,Bergen County,2,Asia,20688,114285,18.1021,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-1980-032,BC-1980-105,1980a_njc-09table172.pdf,,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1980,1980,Bergen County,3,Africa,1588,114285,1.3895,population / foreign_born_total * 100,,,derived_complete_total,complete_published_or_reconstructed,BC-1980-AFRICA-CONTINENT,BC-1980-105,1980a_njc-09table172.pdf,,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1980,1980,Bergen County,4,Latin America,16603,114285,14.5277,population / foreign_born_total * 100,,,derived_historical_proxy,approximate_historical_boundary,BC-1980-LATAM-CONTINENT,BC-1980-105,1980a_njc-09table172.pdf,,Latin America is an analytical Census region rather than a continent. Historical proxy and harmonized rows retain their documented boundary caveats.
1980,1980,Bergen County,5,Other Origins,8674,114285,7.5898,population / foreign_born_total * 100,,,derived_balancing_remainder,complete_balancing_remainder,,BC-1980-105,Calculated from the four continent-series CSVs and the foreign-born total CSV,,"Balances the four-group framework to the full foreign-born population. Depending on the period, this includes Northern America, Oceania, born-at-sea records, and other origins outside Europe, Asia, Africa, and Latin America."
1990,1990,Bergen County,1,Europe,60042,148861,40.3343,population / foreign_born_total * 100,,,derived_complete_total,complete_published_or_reconstructed,BC-1990-EUROPE-CONTINENT,BC-1990-003,cp-2-32-1table139.pdf,,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1990,1990,Bergen County,2,Asia,49337,148861,33.143,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-1990-116,BC-1990-003,cp-2-32-1table139.pdf,,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1990,1990,Bergen County,3,Africa,2444,148861,1.6418,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-1990-172,BC-1990-003,cp-2-32-1table139.pdf,,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
1990,1990,Bergen County,4,Latin America,29315,148861,19.6929,population / foreign_born_total * 100,,,derived_complete_harmonized_total,complete_harmonized_boundary,BC-1990-LATAM-CONTINENT,BC-1990-003,cp-2-32-1table139.pdf,,Latin America is an analytical Census region rather than a continent. Historical proxy and harmonized rows retain their documented boundary caveats.
1990,1990,Bergen County,5,Other Origins,7723,148861,5.1881,population / foreign_born_total * 100,,,derived_balancing_remainder,complete_balancing_remainder,,BC-1990-003,Calculated from the four continent-series CSVs and the foreign-born total CSV,,"Balances the four-group framework to the full foreign-born population. Depending on the period, this includes Northern America, Oceania, born-at-sea records, and other origins outside Europe, Asia, Africa, and Latin America."
2000,2000,Bergen County,1,Europe,67837,222301,30.5158,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-2000-013,BC-2000-003,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2000,2000,Bergen County,2,Asia,88017,222301,39.5936,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-2000-043,BC-2000-003,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2000,2000,Bergen County,3,Africa,4874,222301,2.1925,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-2000-078,BC-2000-003,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2000,2000,Bergen County,4,Latin America,58904,222301,26.4974,population / foreign_born_total * 100,,,published_total,complete_published_or_reconstructed,BC-2000-104,BC-2000-003,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,Latin America is an analytical Census region rather than a continent. Historical proxy and harmonized rows retain their documented boundary caveats.
