source_id,bibliography_inclusion,source_type,responsible_organization,publication_or_dataset,years_or_periods_used,tables_or_resources,local_source_files,official_url,accessed_date,source_roles,csv_file_count,csv_files_using_source,row_reference_count,draft_bibliography_entry,notes
S001,Yes,Local Census publication extract,U.S. Census Bureau,1970 Census of Population,1970,Table 119: Social Characteristics for Counties: 1970,1970a_nj1-08table119.pdf,,,data source; foreign-born population source; total population source,6,bergen_county_1970_variable_provenance.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/bergen_county_total_population_vs_foreign_born_1970_2020.csv; Europe_CSVs/countries_bergen_county_european_foreign_born_1970_2020.csv; Europe_CSVs/countries_bergen_county_top_5_european_origins_by_period_1970_2020.csv; variable_crosswalk.csv,103,U.S. Census Bureau. “1970 Census of Population.” Table 119: Social Characteristics for Counties: 1970. Local project copy: 1970a_nj1-08table119.pdf.,No official URL is stored in the project CSVs; cite the publication information and local extract shown here.
S002,Yes,National Archives electronic-record dataset,U.S. Census Bureau; National Archives and Records Administration,"[Decennial] Census of Population and Housing, 1970: Fourth Count File 4C, Population",1970,22; Country of Origin and Nativity (15%); NT22; Table 119: Social Characteristics for Counties: 1970; Tabulation 22: Country of Origin and Nativity (15%),CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,2026-08-14,data source,10,Africa/continent_bergen_county_african_foreign_born_total_1970_2020.csv; Asia/continent_bergen_county_asian_foreign_born_total_1970_2020.csv; Asia/countries_bergen_county_asian_foreign_born_1970_2020.csv; bergen_county_1970_variable_provenance.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/continent_share_of_bergen_county_foreign_born_population_1970_2020.csv; Europe_CSVs/continent_bergen_county_european_foreign_born_total_1970_2020.csv; Europe_CSVs/countries_bergen_county_european_foreign_born_1970_2020.csv; Latin_America/continent_bergen_county_latin_american_foreign_born_total_1970_2020.csv; variable_crosswalk.csv,47,"U.S. Census Bureau; National Archives and Records Administration. “[Decennial] Census of Population and Housing, 1970: Fourth Count File 4C, Population.” National Archives Catalog, NAID 594239. https://catalog.archives.gov/id/594239. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S003,No—describe in methodology and cite underlying Census sources,Project-derived analytical source,Bergen County Immigration Research Project,Derived analytical source,1970; 1980; 1990; 2000; 2006-2010; 2016-2020,,,,,data source,1,Bergen_County_Wide_Trends/continent_share_of_bergen_county_foreign_born_population_1970_2020.csv,6,Bergen County Immigration Research Project. “Derived analytical source.” Project-derived calculation or intermediate file.,"This is a calculation or reconstructed subtotal, not an independently published source."
S004,Yes,Census classification reference,U.S. Census Bureau,2020 American Community Survey Code Lists,1980; 1990; 2016-2020,2020 ACS birthplace subregion classification applied retrospectively; source-published Census subregion,,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf,2026-08-14,classification reference,1,Europe_CSVs/subregion_bergen_county_european_totals_2000_2020.csv,12,"U.S. Census Bureau. “2020 American Community Survey Code Lists.” 2020 ACS birthplace subregion classification applied retrospectively; source-published Census subregion. https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf. Accessed August 14, 2026.",Used to define or retrospectively classify continent/subregion groupings.
S005,Yes,Census publication PDF,U.S. Census Bureau,1980 Census of Population,1980,172; Derived from named country/area rows in the 1980 source; Nativity and Language for Counties: 1980; Table 172: Nativity and Language for Counties: 1980,1980a_njc-09table172.pdf,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,2026-08-14,data source; foreign-born population source; total population source,16,Africa/continent_bergen_county_african_foreign_born_total_1970_2020.csv; Asia/continent_bergen_county_asian_foreign_born_total_1970_2020.csv; Asia/countries_bergen_county_asian_foreign_born_1970_2020.csv; Asia/countries_bergen_county_top_5_asian_origins_by_period_1980_2020.csv; bergen_county_1980_table172.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/bergen_county_total_population_vs_foreign_born_1970_2020.csv; Bergen_County_Wide_Trends/continent_share_of_bergen_county_foreign_born_population_1970_2020.csv; Europe_CSVs/continent_bergen_county_european_foreign_born_total_1970_2020.csv; Europe_CSVs/countries_bergen_county_european_foreign_born_1970_2020.csv; Europe_CSVs/countries_bergen_county_top_5_european_origins_by_period_1970_2020.csv; Europe_CSVs/subregion_bergen_county_european_totals_2000_2020.csv; Latin_America/continent_bergen_county_latin_american_foreign_born_total_1970_2020.csv; Latin_America/countries_bergen_county_latin_american_foreign_born_1980_2020.csv; Latin_America/subregion_bergen_county_latin_american_foreign_born_1980_2020.csv; variable_crosswalk.csv,331,"U.S. Census Bureau. “1980 Census of Population.” 172; Derived from named country/area rows in the 1980 source; Nativity and Language for Counties: 1980; Table 172: Nativity and Language for Counties: 1980. https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S006,Yes,Census publication PDF,U.S. Census Bureau,"1990 Census of Population: Social and Economic Characteristics, New Jersey",1990,"138; 138.0; 139; 139.0; Derived from named country/area rows in the 1990 source; Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990; Place of Birth of Foreign-Born Persons: 1990; Table 138: Nativity Citizenship Year of Entry Area of Birth and Language Spoken at Home: 1990; Table 138: Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990; Table 139: Place of Birth of Foreign-Born Persons: 1990",countries_bergen_county_asian_foreign_born_1970_2020.csv; cp-2-32-1table138.pdf; cp-2-32-1table139.pdf,https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,2026-08-14,data source; foreign-born population source; total population source,18,Africa/continent_bergen_county_african_foreign_born_total_1970_2020.csv; Africa/countries_bergen_county_african_foreign_born_1990_2020.csv; Asia/continent_bergen_county_asian_foreign_born_total_1970_2020.csv; Asia/countries_bergen_county_asian_foreign_born_1970_2020.csv; Asia/countries_bergen_county_top_5_asian_origins_by_period_1980_2020.csv; bergen_county_1990_tables138_139.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/bergen_county_total_population_vs_foreign_born_1970_2020.csv; Bergen_County_Wide_Trends/continent_share_of_bergen_county_foreign_born_population_1970_2020.csv; Europe_CSVs/continent_bergen_county_european_foreign_born_total_1970_2020.csv; Europe_CSVs/countries_bergen_county_european_foreign_born_1970_2020.csv; Europe_CSVs/countries_bergen_county_top_5_european_origins_by_period_1970_2020.csv; Europe_CSVs/subregion_bergen_county_european_totals_2000_2020.csv; Latin_America/continent_bergen_county_latin_american_foreign_born_total_1970_2020.csv; Latin_America/countries_bergen_county_latin_american_foreign_born_1980_2020.csv; Latin_America/countries_bergen_county_top_5_latin_american_origins_1990_2020.csv; Latin_America/subregion_bergen_county_latin_american_foreign_born_1980_2020.csv; variable_crosswalk.csv,681,"U.S. Census Bureau. “1990 Census of Population: Social and Economic Characteristics, New Jersey.” 138; 138.0; 139; 139.0; Derived from named country/area rows in the 1990 source; Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990; Place of Birth of Foreign-Born Persons: 1990; Table 138: Nativity Citizenship Year of Entry Area of Birth and Language Spoken at Home: 1990; Table 138: Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990; Table 139: Place of Birth of Foreign-Born Persons: 1990. https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S007,No—describe in methodology and cite underlying Census sources,Project analytical CSV,Bergen County Immigration Research Project,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",1990,Table 139: Place of Birth of Foreign-Born Persons: 1990,countries_bergen_county_asian_foreign_born_1970_2020.csv,,,data source,2,Asia/subregion_bergen_county_asian_totals_1990_2020.csv; variable_crosswalk.csv,8,"Bergen County Immigration Research Project. “Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey.” Project-derived calculation or intermediate file (countries_bergen_county_asian_foreign_born_1970_2020.csv).",Internal intermediate file; use the underlying Census publication or dataset in the formal bibliography.
S008,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,Census 2000 Summary File 3 (SF 3),2000,PCT19; PCT19: Place of Birth for the Foreign-Born Population; Place of Birth for the Foreign-Born Population; source-published Census subregion,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,2026-08-14,classification reference; data source,18,Africa/continent_bergen_county_african_foreign_born_total_1970_2020.csv; Africa/countries_bergen_county_african_foreign_born_1990_2020.csv; Africa/subregions_bergen_county_african_foreign_born_2000_2020.csv; Asia/continent_bergen_county_asian_foreign_born_total_1970_2020.csv; Asia/countries_bergen_county_asian_foreign_born_1970_2020.csv; Asia/countries_bergen_county_top_5_asian_origins_by_period_1980_2020.csv; Asia/subregion_bergen_county_asian_totals_1990_2020.csv; bergen_county_2000_immigration_tables.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/continent_share_of_bergen_county_foreign_born_population_1970_2020.csv; Europe_CSVs/continent_bergen_county_european_foreign_born_total_1970_2020.csv; Europe_CSVs/countries_bergen_county_european_foreign_born_1970_2020.csv; Europe_CSVs/countries_bergen_county_top_5_european_origins_by_period_1970_2020.csv; Europe_CSVs/subregion_bergen_county_european_totals_2000_2020.csv; Latin_America/continent_bergen_county_latin_american_foreign_born_total_1970_2020.csv; Latin_America/countries_bergen_county_latin_american_foreign_born_1980_2020.csv; Latin_America/countries_bergen_county_top_5_latin_american_origins_1990_2020.csv; Latin_America/subregion_bergen_county_latin_american_foreign_born_1980_2020.csv,388,"U.S. Census Bureau. “Census 2000 Summary File 3 (SF 3).” PCT19; PCT19: Place of Birth for the Foreign-Born Population; Place of Birth for the Foreign-Born Population; source-published Census subregion. Census Data API. https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html. Accessed August 14, 2026.",Used both as a Census data source and as a hierarchy/classification reference.
S009,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,Census 2000 Summary File 3 (SF 3),2000,PCT20; PCT20: Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population; Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,2026-08-14,data source,2,bergen_county_2000_immigration_tables.csv; bergen_county_master_provenance.csv,208,"U.S. Census Bureau. “Census 2000 Summary File 3 (SF 3).” PCT20; PCT20: Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population; Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population. Census Data API. https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S010,Yes,Census publication PDF,U.S. Census Bureau,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",2000,"Place of Birth, Residence in 1995, and Language: 2000; Table 1; Table 1: Place of Birth Residence in 1995 and Language: 2000; Table 1: Place of Birth, Residence in 1995, and Language: 2000",bergen_county_2000_immigration_tables.csv,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,2026-08-14,data source; foreign-born population source; total population source,3,bergen_county_2000_immigration_tables.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/bergen_county_total_population_vs_foreign_born_1970_2020.csv,24,"U.S. Census Bureau. “Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32).” Place of Birth, Residence in 1995, and Language: 2000; Table 1; Table 1: Place of Birth Residence in 1995 and Language: 2000; Table 1: Place of Birth, Residence in 1995, and Language: 2000. https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
