year,source_period,geography,european_group,group_type,european_subregion,hierarchy_level,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1970,1970,Bergen County,Europe,region_total,,0,75188,,persons,foreign_born_population,same_broad_region_with_category_caution,foreign_born_country_of_birth_europe,,Foreign born!!Europe (sum of 22 European-origin categories),NT22,Tabulation 22: Country of Origin and Nativity (15%),BC-1970-036,1970 Census of Population: Fourth Count Population Summary Tape,https://catalog.archives.gov/id/594239,CEN70.CT4CP.NJ.TXT,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. Derived by summing all 22 European-origin categories in the foreign-born half of NT22 across Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). The result is 75,188 and NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,1970,Bergen County,Austria,country_or_area,,1,14388,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_austria,,Austria,,Table 119: Social Characteristics for Counties: 1970,BC-1970-002,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,
1970,1970,Bergen County,Czechoslovakia,legacy_multi_country_area,,1,8226,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_czechoslovakia,,Czechoslovakia,,Table 119: Social Characteristics for Counties: 1970,BC-1970-005,1970 Census of Population,,CEN70.CT4CP.NJ.TXT,decoded_and_reconciled,"Corrected from 9,226 to 8,226 using machine-readable Fourth Count NT22; this is foreign stock, not foreign-born population."
1970,1970,Bergen County,Germany,country_or_area,,1,41753,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_germany,,Germany,,Table 119: Social Characteristics for Counties: 1970,BC-1970-011,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,Table footnote includes West Germany and East Germany
1970,1970,Bergen County,Hungary,country_or_area,,1,8134,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_hungary,,Hungary,,Table 119: Social Characteristics for Counties: 1970,BC-1970-012,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,
1970,1970,Bergen County,Ireland,country_or_area,,1,22496,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_ireland,,Ireland,,Table 119: Social Characteristics for Counties: 1970,BC-1970-013,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,
1970,1970,Bergen County,Italy,country_or_area,,1,91390,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_italy,,Italy,,Table 119: Social Characteristics for Counties: 1970,BC-1970-014,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,Not equivalent to foreign-born persons born in Italy
1970,1970,Bergen County,Poland,country_or_area,,1,31390,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_poland,,Poland,,Table 119: Social Characteristics for Counties: 1970,BC-1970-023,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,
1970,1970,Bergen County,Sweden,country_or_area,,1,3426,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_sweden,,Sweden,,Table 119: Social Characteristics for Counties: 1970,BC-1970-025,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,
1970,1970,Bergen County,U.S.S.R.,legacy_multi_country_area,,1,21190,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_ussr,,U.S.S.R.,,Table 119: Social Characteristics for Counties: 1970,BC-1970-029,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,
1970,1970,Bergen County,United Kingdom,country_or_area,,1,24852,,persons,foreign_stock,not_directly_comparable_1970_foreign_stock,foreign_stock_united_kingdom,,United Kingdom,,Table 119: Social Characteristics for Counties: 1970,BC-1970-030,1970 Census of Population,,1970a_nj1-08table119.pdf,verified,Not equivalent to foreign-born persons born in the United Kingdom
1980,1980,Bergen County,Austria,country_or_area,,1,1858,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_austria,,Austria,,Table 172: Nativity and Language for Counties: 1980,BC-1980-033,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Czechoslovakia,legacy_multi_country_area,,1,1455,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_czechoslovakia,,Czechoslovakia,,Table 172: Nativity and Language for Counties: 1980,BC-1980-038,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,England,country_component,,2,3334,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_england,Europe > United Kingdom,England,,Table 172: Nativity and Language for Counties: 1980,BC-1980-040,1980 Census of Population,,1980a_njc-09table172.pdf,,Subcategory of United Kingdom
1980,1980,Bergen County,Europe,region_total,,0,66732,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe,,Europe,,Table 172: Nativity and Language for Counties: 1980,BC-1980-041,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,France,country_or_area,,1,1310,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_france,,France,,Table 172: Nativity and Language for Counties: 1980,BC-1980-043,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Germany,country_or_area,,1,10970,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_germany,,Germany,,Table 172: Nativity and Language for Counties: 1980,BC-1980-044,1980 Census of Population,,1980a_njc-09table172.pdf,,
