year,source_period,rank,country_or_area,population,margin_of_error,unit,measure_scope,coverage_status,notes,publication,source_file,official_source_url,crosswalk_id
1970,1970,1,Italy,91390,,persons,foreign_stock,selected_origins_only,Not directly comparable with 1980 onward; foreign stock includes foreign-born people and certain U.S.-born people with foreign or mixed parentage.,1970 Census of Population,1970a_nj1-08table119.pdf,,BC-1970-014
1970,1970,2,Germany,41753,,persons,foreign_stock,selected_origins_only,Not directly comparable with 1980 onward; foreign stock includes foreign-born people and certain U.S.-born people with foreign or mixed parentage.,1970 Census of Population,1970a_nj1-08table119.pdf,,BC-1970-011
1970,1970,3,Poland,31390,,persons,foreign_stock,selected_origins_only,Not directly comparable with 1980 onward; foreign stock includes foreign-born people and certain U.S.-born people with foreign or mixed parentage.,1970 Census of Population,1970a_nj1-08table119.pdf,,BC-1970-023
1970,1970,4,United Kingdom,24852,,persons,foreign_stock,selected_origins_only,Not directly comparable with 1980 onward; foreign stock includes foreign-born people and certain U.S.-born people with foreign or mixed parentage.,1970 Census of Population,1970a_nj1-08table119.pdf,,BC-1970-030
1970,1970,5,Ireland,22496,,persons,foreign_stock,selected_origins_only,Not directly comparable with 1980 onward; foreign stock includes foreign-born people and certain U.S.-born people with foreign or mixed parentage.,1970 Census of Population,1970a_nj1-08table119.pdf,,BC-1970-013
1980,1980,1,Italy,18479,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-049
1980,1980,2,Germany,10970,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-044
1980,1980,3,Poland,7029,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-060
1980,1980,4,United Kingdom,6309,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-066
1980,1980,5,Greece,3640,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,1980 Census of Population,1980a_njc-09table172.pdf,,BC-1980-045
1990,1990,1,Italy,14064,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-102
1990,1990,2,Germany,8156,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-098
1990,1990,3,Poland,7110,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-107
1990,1990,4,United Kingdom,4638,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-113
1990,1990,5,Greece,3821,,persons,foreign_born_population,partial_named_country_coverage,Ranking uses separately published countries; the unpublished European residual is too small to change the top five.,"1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-099
2000,2000,1,Poland,13737,,persons,foreign_born_population,published_country_coverage,Census 2000 SF3 sample data.,Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-034
2000,2000,2,Italy,11717,,persons,foreign_born_population,published_country_coverage,Census 2000 SF3 sample data.,Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-027
2000,2000,3,Germany,5753,,persons,foreign_born_population,published_country_coverage,Census 2000 SF3 sample data.,Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-022
2000,2000,4,Russia,5258,,persons,foreign_born_population,published_country_coverage,Census 2000 SF3 sample data.,Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-037
2000,2000,5,United Kingdom,3804,,persons,foreign_born_population,published_country_coverage,Census 2000 SF3 sample data.,Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-015
2010,2006-2010,1,Poland,12995,1083,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-038
2010,2006-2010,2,Italy,9142,779,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-023
2010,2006-2010,3,Russia,5248,662,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-040
2010,2006-2010,4,Germany,3807,498,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-017
2010,2006-2010,5,Ukraine,3323,537,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-041
2020,2016-2020,1,Poland,12715,1428,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-041
2020,2016-2020,2,Italy,6927,770,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-026
2020,2016-2020,3,Russia,4793,749,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; Russia and Ukraine are close enough that their ordering should not be treated as statistically conclusive.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-043
2020,2016-2020,4,Ukraine,4641,841,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; Russia and Ukraine are close enough that their ordering should not be treated as statistically conclusive.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-044
2020,2016-2020,5,United Kingdom (inc. Crown Dependencies),2917,391,persons,foreign_born_population,acs_estimate,ACS 5-year estimate; margin of error is Census-published.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-011
