year,source_period,geography,european_group,population,margin_of_error,unit,measure_scope,publication_status,coverage_status,derivation_components,classification_basis,caveat,historical_comparability,group_type,european_subregion,hierarchy_level,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes,classification_source_url
1980,1980,Bergen County,Northern Europe,10314,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Ireland + Sweden + United Kingdom,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Northern Europe,1,derived_partial_foreign_born_population_subregion_northern_europe,Europe,Derived partial Northern Europe total,,Derived from named country/area rows in the 1980 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,1980a_njc-09table172.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion. Components: Ireland, Sweden, United Kingdom.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
1980,1980,Bergen County,Western Europe,15425,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Austria + France + Germany + Netherlands,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Western Europe,1,derived_partial_foreign_born_population_subregion_western_europe,Europe,Derived partial Western Europe total,,Derived from named country/area rows in the 1980 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,1980a_njc-09table172.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion. Components: Austria, France, Germany, Netherlands.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
1980,1980,Bergen County,Southern Europe,23078,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Greece + Italy + Portugal,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Southern Europe,1,derived_partial_foreign_born_population_subregion_southern_europe,Europe,Derived partial Southern Europe total,,Derived from named country/area rows in the 1980 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,1980a_njc-09table172.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion. Components: Greece, Italy, Portugal.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
1980,1980,Bergen County,Eastern Europe,15716,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Czechoslovakia + Hungary + Poland + U.S.S.R. + Yugoslavia,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Eastern Europe,1,derived_partial_foreign_born_population_subregion_eastern_europe,Europe,Derived partial Eastern Europe total,,Derived from named country/area rows in the 1980 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,1980a_njc-09table172.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1980; omitted or residual European origins cannot be assigned to a subregion. Components: Czechoslovakia, Hungary, Poland, U.S.S.R., Yugoslavia.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
1990,1990,Bergen County,Northern Europe,9534,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Denmark + Finland + Ireland + Norway + Sweden + United Kingdom,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Northern Europe,1,derived_partial_foreign_born_population_subregion_northern_europe,Europe,Derived partial Northern Europe total,,Derived from named country/area rows in the 1990 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,cp-2-32-1table139.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion. Components: Denmark, Finland, Ireland, Norway, Sweden, United Kingdom.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
1990,1990,Bergen County,Western Europe,12306,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Austria + Belgium + France + Germany + Netherlands + Switzerland,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Western Europe,1,derived_partial_foreign_born_population_subregion_western_europe,Europe,Derived partial Western Europe total,,Derived from named country/area rows in the 1990 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,cp-2-32-1table139.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion. Components: Austria, Belgium, France, Germany, Netherlands, Switzerland.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
1990,1990,Bergen County,Southern Europe,20212,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Greece + Italy + Portugal + Spain,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Southern Europe,1,derived_partial_foreign_born_population_subregion_southern_europe,Europe,Derived partial Southern Europe total,,Derived from named country/area rows in the 1990 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,cp-2-32-1table139.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion. Components: Greece, Italy, Portugal, Spain.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
1990,1990,Bergen County,Eastern Europe,17457,,persons,foreign_born_population,not_published_derived_partial,partial_named_country_coverage,Czechoslovakia + Estonia + Hungary + Latvia + Lithuania + Poland + Romania + Yugoslavia + Soviet Union,2020 ACS birthplace subregion classification applied retrospectively,Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion. The Soviet Union is included under the later Census Eastern Europe classification even though the 1990 table printed it outside the Europe subtotal.,derived_partial_not_directly_comparable_to_published_subregion_totals,derived_partial_subregion_total,Eastern Europe,1,derived_partial_foreign_born_population_subregion_eastern_europe,Europe,Derived partial Eastern Europe total,,Derived from named country/area rows in the 1990 source,,Derived analytical subtotal; not published by the U.S. Census Bureau,,cp-2-32-1table139.pdf,verified_derived_partial_sum,"Not a published Census subregion total. This is a partial sum of only the named country/area rows available for 1990; omitted or residual European origins cannot be assigned to a subregion. The Soviet Union is included under the later Census Eastern Europe classification even though the 1990 table printed it outside the Europe subtotal. Components: Czechoslovakia, Estonia, Hungary, Latvia, Lithuania, Poland, Romania, Yugoslavia, Soviet Union.",https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
2000,2000,Bergen County,Northern Europe,7996,,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Northern Europe,1,foreign_born_country_of_birth_europe_northern_europe,Europe,Northern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-014,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html
2000,2000,Bergen County,Western Europe,8924,,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Western Europe,1,foreign_born_country_of_birth_europe_western_europe,Europe,Western Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-019,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html
