year,source_period,geography,country_or_area,latin_american_subregion,population,margin_of_error,unit,measure_scope,value_status,coverage_status,standard_variable,parent_label,source_label,table_id,variable_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1980,1980,Bergen County,Cuba,Caribbean,3304,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_cuba,,Cuba,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-037,1980 Census of Population,,1980a_njc-09table172.pdf,,Only four Latin American countries were separately reported in the master for 1980. Regional totals and residual categories are excluded. Subcategory of West Indies
1980,1980,Bergen County,Dominican Republic,Caribbean,799,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_dominican_republic,,Dominican Republic,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-039,1980 Census of Population,,1980a_njc-09table172.pdf,,Only four Latin American countries were separately reported in the master for 1980. Regional totals and residual categories are excluded. Subcategory of West Indies
1980,1980,Bergen County,Jamaica,Caribbean,1435,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_jamaica,,Jamaica,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-050,1980 Census of Population,,1980a_njc-09table172.pdf,,Only four Latin American countries were separately reported in the master for 1980. Regional totals and residual categories are excluded. Subcategory of West Indies
1980,1980,Bergen County,Mexico,Central America,245,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_mexico,,Mexico,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-053,1980 Census of Population,,1980a_njc-09table172.pdf,,Only four Latin American countries were separately reported in the master for 1980. Regional totals and residual categories are excluded.
1990,1990,Bergen County,Bahamas,Caribbean,48,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_bahamas,Caribbean,Bahamas,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-145,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Barbados,Caribbean,259,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_barbados,Caribbean,Barbados,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-146,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Cuba,Caribbean,4266,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_cuba,Caribbean,Cuba,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-147,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Dominican Republic,Caribbean,1945,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_dominican_republic,Caribbean,Dominican Republic,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-148,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Grenada,Caribbean,35,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_grenada,Caribbean,Grenada,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-149,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Haiti,Caribbean,530,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_haiti,Caribbean,Haiti,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-150,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
