year,source_period,rank,country_or_area,latin_american_subregion,population,margin_of_error,unit,measure_scope,coverage_status,largest_unassigned_subregional_residual,fifth_place_population,notes,publication,source_file,official_source_url,crosswalk_id
1990,1990,1,Colombia,South America,6239,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,552,1945,"Ranked by reported point estimate. The largest unassigned subregional residual is 552, below the fifth-ranked country (1,945), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.","1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-166
1990,1990,2,Cuba,Caribbean,4266,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,552,1945,"Ranked by reported point estimate. The largest unassigned subregional residual is 552, below the fifth-ranked country (1,945), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.","1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-147
1990,1990,3,Jamaica,Caribbean,3343,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,552,1945,"Ranked by reported point estimate. The largest unassigned subregional residual is 552, below the fifth-ranked country (1,945), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.","1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-151
1990,1990,4,Ecuador,South America,2383,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,552,1945,"Ranked by reported point estimate. The largest unassigned subregional residual is 552, below the fifth-ranked country (1,945), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.","1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-167
1990,1990,5,Dominican Republic,Caribbean,1945,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,552,1945,"Ranked by reported point estimate. The largest unassigned subregional residual is 552, below the fifth-ranked country (1,945), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.","1990 Census of Population: Social and Economic Characteristics, New Jersey",cp-2-32-1table139.pdf,,BC-1990-148
2000,2000,1,Colombia,South America,11973,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,1086,4420,"Ranked by reported point estimate. The largest unassigned subregional residual is 1,086, below the fifth-ranked country (4,420), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-128
2000,2000,2,Dominican Republic,Caribbean,6669,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,1086,4420,"Ranked by reported point estimate. The largest unassigned subregional residual is 1,086, below the fifth-ranked country (4,420), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-108
2000,2000,3,Ecuador,South America,5926,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,1086,4420,"Ranked by reported point estimate. The largest unassigned subregional residual is 1,086, below the fifth-ranked country (4,420), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-129
2000,2000,4,Cuba,Caribbean,5183,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,1086,4420,"Ranked by reported point estimate. The largest unassigned subregional residual is 1,086, below the fifth-ranked country (4,420), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-107
2000,2000,5,Jamaica,Caribbean,4420,,persons,foreign_born_population,published_country_top5_residuals_below_fifth,1086,4420,"Ranked by reported point estimate. The largest unassigned subregional residual is 1,086, below the fifth-ranked country (4,420), so no single residual country can displace the reported top five. The decennial values are sample-based estimates and the source does not publish margins of error in this extract.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-110
2010,2006-2010,1,Colombia,South America,13923,1223,persons,foreign_born_population,acs_point_estimate_top5_residuals_below_fifth,437,4413,"Ranked by reported point estimate. The largest unassigned subregional residual is 437, below the fifth-ranked country (4,413), so no single residual country can displace the reported top five. ACS margins of error are included; overlapping margins mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-152
2010,2006-2010,2,Dominican Republic,Caribbean,11216,1251,persons,foreign_born_population,acs_point_estimate_top5_residuals_below_fifth,437,4413,"Ranked by reported point estimate. The largest unassigned subregional residual is 437, below the fifth-ranked country (4,413), so no single residual country can displace the reported top five. ACS margins of error are included; overlapping margins mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-129
2010,2006-2010,3,Ecuador,South America,8636,1128,persons,foreign_born_population,acs_point_estimate_top5_residuals_below_fifth,437,4413,"Ranked by reported point estimate. The largest unassigned subregional residual is 437, below the fifth-ranked country (4,413), so no single residual country can displace the reported top five. ACS margins of error are included; overlapping margins mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-153
2010,2006-2010,4,Cuba,Caribbean,5823,625,persons,foreign_born_population,acs_point_estimate_top5_residuals_below_fifth,437,4413,"Ranked by reported point estimate. The largest unassigned subregional residual is 437, below the fifth-ranked country (4,413), so no single residual country can displace the reported top five. ACS margins of error are included; overlapping margins mean close rank positions are not statistically conclusive.",2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-127
