year,source_period,geography,subregion,population,margin_of_error,unit,measure_scope,publication_status,coverage_status,derivation_components,historical_comparability,standard_variable,source_label,table_id,variable_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1980,1980,Bergen County,Caribbean,6764,,persons,foreign_born_population,published_historical_category_mapped,historical_category_approximation,,partial_west_indies_to_caribbean_mapping,foreign_born_country_of_birth_west_indies,West Indies,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-069,1980 Census of Population,,1980a_njc-09table172.pdf,verified_against_master_provenance,The published 1980 West Indies total is mapped to the modern Caribbean subregion; historical category boundaries may differ.
1980,1980,Bergen County,Central America,1295,,persons,foreign_born_population,derived_from_published_historical_categories,approximate_modern_subregion,"North and Central America (10,632) - Canada (2,573) - West Indies (6,764)",partial_historical_category_mapping,derived_foreign_born_subregion_central_america,North and Central America,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-LATAM-SUBREGION-CENTRAL,Derived from 1980 Census of Population,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,1980a_njc-09table172.pdf,verified_formula_and_source_hierarchy,"Not a published Census subregion total. The 1980 table nests West Indies within North and Central America, so both Canada and West Indies are removed: 10,632 - 2,573 - 6,764 = 1,295. This contains Mexico (245) plus a residual 1,050 for other Central American and possibly small other North American origins; treat as an approximate modern-subregion mapping."
1980,1980,Bergen County,South America,8544,,persons,foreign_born_population,published_subregion_total,published_historical_subregion_total,,direct_label_historical_definition_review,foreign_born_country_of_birth_south_america,South America,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-063,1980 Census of Population,,1980a_njc-09table172.pdf,verified_against_master_provenance,
1990,1990,Bergen County,Caribbean,11846,,persons,foreign_born_population,published_subregion_total,published_historical_subregion_total,,direct_label_historical_definition_review,foreign_born_region_of_birth_caribbean,Caribbean,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-144,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,verified_against_master_provenance,
1990,1990,Bergen County,Central America,3437,,persons,foreign_born_population,derived_exact_from_published_categories,complete_reconstructed_modern_subregion,"Central America excluding Mexico (2,863) + Mexico (574)",harmonized_to_modern_census_hierarchy,derived_foreign_born_subregion_central_america_including_mexico,Central America,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-LATAM-SUBREGION-CENTRAL,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,cp-2-32-1table139.pdf,verified_formula_against_master_provenance,"Not printed as one total. Mexico is added to the published 1990 Central America category to match the 2000-and-later Census hierarchy, where Mexico is within Central America."
1990,1990,Bergen County,South America,14032,,persons,foreign_born_population,published_subregion_total,published_historical_subregion_total,,direct_label_historical_definition_review,foreign_born_region_of_birth_south_america,South America,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-161,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,verified_against_master_provenance,
2000,2000,Bergen County,Caribbean,19890,,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_region_of_birth_caribbean,Caribbean,PCT19,PCT019094,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-105,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,verified_against_master_provenance,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Central America,10445,,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_region_of_birth_central_america,Central America,PCT19,PCT019102,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-113,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,verified_against_master_provenance,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,South America,28569,,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_country_of_birth_americas_latin_america_south_america,South America,PCT19,PCT019112,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-123,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,verified_against_master_provenance,SF3 sample data; n.e.c. = not elsewhere classified.
2010,2006-2010,Bergen County,Caribbean,24649,1553,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_region_of_birth_caribbean,Estimate!!Total!!Americas!!Latin America!!Caribbean,B05006,B05006_124E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-124,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,source_period=2006-2010; geoid=05000US34003; margin_of_error=1553; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,Central America,16539,1666,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_region_of_birth_central_america,Estimate!!Total!!Americas!!Latin America!!Central America,B05006,B05006_137E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-137,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,source_period=2006-2010; geoid=05000US34003; margin_of_error=1666; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,South America,34734,1894,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_country_of_birth_americas_latin_america_south_america,Estimate!!Total!!Americas!!Latin America!!South America,B05006,B05006_147E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-147,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,source_period=2006-2010; geoid=05000US34003; margin_of_error=1894; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2020,2016-2020,Bergen County,Caribbean,36184,2048,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_region_of_birth_caribbean,Estimate!!Total:!!Americas:!!Latin America:!!Caribbean:,B05006,B05006_131E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-123,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,source_period=2016-2020; geoid=05000US34003; margin_of_error=2048; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,Central America,19306,2052,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_region_of_birth_central_america,Estimate!!Total:!!Americas:!!Latin America:!!Central America:,B05006,B05006_144E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-136,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,source_period=2016-2020; geoid=05000US34003; margin_of_error=2052; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,South America,41185,2084,persons,foreign_born_population,published_subregion_total,complete_published_subregion,,modern_census_hierarchy,foreign_born_country_of_birth_americas_latin_america_south_america,Estimate!!Total:!!Americas:!!Latin America:!!South America:,B05006,B05006_154E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-146,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,source_period=2016-2020; geoid=05000US34003; margin_of_error=2084; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate.
