year,geography,state,standard_variable,source_label,value,unit,value_type,formula,universe,publication,table,page,source_file,source_column,definition,comparability_group,comparability_status,extraction_method,verification_status,notes
1970,Bergen County,New Jersey,total_population,Total population,898012,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Total population,total_population,yes,AI_visual,verified,
1970,Bergen County,New Jersey,native_native_parentage,Native of native parentage,545816,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Native population of native parentage,nativity_parentage,partial,AI_visual,verified,
1970,Bergen County,New Jersey,native_foreign_mixed_parentage,Native of foreign or mixed parentage,256803,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Native population of foreign or mixed parentage,nativity_parentage,partial,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_born_population,Foreign born,95393,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign-born population,foreign_born_population,yes,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_born_country_of_birth_europe,Europe,75188,persons,derived,United Kingdom + Ireland + Norway + Sweden + Denmark + Netherlands + Switzerland + France + Germany + Poland + Czechoslovakia + Austria + Hungary + Yugoslavia + U.S.S.R. + Lithuania + Finland + Rumania + Greece + Italy + Portugal + Other Europe,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Europe (sum of 22 European-origin categories),Europe among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. Derived by summing all 22 European-origin categories in the foreign-born half of NT22 across Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). The result is 75,188 and NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,Bergen County,New Jersey,foreign_born_country_of_birth_africa,Africa,659,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Africa,Africa among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Africa field and constructed by summing Urban Total (659), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. The Africa value is not printed separately in New Jersey Table 119."
1970,Bergen County,New Jersey,foreign_born_pct,Derived,10.6227,percent,derived,foreign_born_population / total_population * 100,Total population,Derived from 1970 Census Table 119,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign-born population divided by total population,foreign_born_pct,yes,calculated,verified,"Computed from 95,393 / 898,012 * 100"
1970,Bergen County,New Jersey,total_foreign_stock,Total foreign stock,352196,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign born plus native population of foreign or mixed parentage,foreign_stock,no,AI_visual,verified,Do not compare directly with foreign-born population
1970,Bergen County,New Jersey,foreign_stock_united_kingdom,United Kingdom,24852,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with United Kingdom,country_foreign_stock,no,AI_visual,verified,Not equivalent to foreign-born persons born in the United Kingdom
1970,Bergen County,New Jersey,foreign_stock_ireland,Ireland,22496,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Ireland,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_sweden,Sweden,3426,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Sweden,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_germany,Germany,41753,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Germany,country_foreign_stock,no,AI_visual,verified,Table footnote includes West Germany and East Germany
1970,Bergen County,New Jersey,foreign_stock_poland,Poland,31390,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Poland,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_czechoslovakia,Czechoslovakia,8226,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,CEN70.CT4CP.NJ.TXT,Bergen,Foreign stock associated with Czechoslovakia,country_foreign_stock,no,fixed_width_fourth_count_decode,decoded_and_reconciled,"Corrected from 9,226 to 8,226 using machine-readable Fourth Count NT22; reconciled to total foreign stock."
1970,Bergen County,New Jersey,foreign_stock_austria,Austria,14388,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Austria,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_hungary,Hungary,8134,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Hungary,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_ussr,U.S.S.R.,21190,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with U.S.S.R.,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_italy,Italy,91390,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Italy,country_foreign_stock,no,AI_visual,verified,Not equivalent to foreign-born persons born in Italy
1970,Bergen County,New Jersey,foreign_stock_canada,Canada,9834,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Canada,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_mexico,Mexico,578,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Mexico,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_cuba,Cuba,3144,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Cuba,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_other_america,Other America,8449,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with other America,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_stock_other_not_reported,All other and not reported,62946,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,All other foreign stock and not reported,country_foreign_stock,no,AI_visual,verified,
1970,Bergen County,New Jersey,persons_spanish_language,Persons of Spanish language,22145,persons,reported,,As defined by source table,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Persons of Spanish language; see Census definition,spanish_language_origin,partial,AI_visual,verified,Historical definition should be checked before comparison
1970,Bergen County,New Jersey,persons_spanish_origin_descent,Persons of Spanish origin or descent,16565,persons,reported,,As defined by source table,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Persons of Spanish origin or descent,spanish_origin,partial,AI_visual,verified,Historical definition should be checked before comparison
