year,geography,state,section,source_label,value,unit,universe,publication,table,page,source_file,source_column,notes
1980,Bergen County,New Jersey,Nativity and citizenship,Total persons,845385,persons,Total persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Estimate based on a sample
1980,Bergen County,New Jersey,Nativity and citizenship,Native,731100,persons,Total persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Estimate based on a sample
1980,Bergen County,New Jersey,Nativity and citizenship,Foreign born,114285,persons,Total persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Estimate based on a sample
1980,Bergen County,New Jersey,Nativity and citizenship,Naturalized citizen,70316,persons,Foreign born,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Estimate based on a sample
1980,Bergen County,New Jersey,Nativity and citizenship,Not a citizen,43969,persons,Foreign born,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Estimate based on a sample
1980,Bergen County,New Jersey,Country of birth,Foreign born persons,114285,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Estimate based on a sample
1980,Bergen County,New Jersey,Country of birth,Europe,66732,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Austria,1858,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Czechoslovakia,1455,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,France,1310,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
