year,geography,state,table_number,table_title,section,parent_label,source_label,value,source_symbol,unit,universe,publication,page,source_file,source_column,notes
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,,All persons,825380,,persons,All persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,,Native,676519,,persons,All persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,,Foreign born,148861,,persons,All persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,Foreign born,Naturalized citizen,76393,,persons,Foreign born,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,Foreign born,Not a citizen,72468,,persons,Foreign born,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,Foreign born,Entered 1980 to 1990,56810,,persons,Foreign born,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,Entered 1980 to 1990,Naturalized citizen,7674,,persons,Foreign born who entered 1980 to 1990,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,Foreign born,Entered 1965 to 1979,46392,,persons,Foreign born,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Nativity and citizenship,Entered 1965 to 1979,Naturalized citizen,28462,,persons,Foreign born who entered 1965 to 1979,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Year of entry,,Foreign-born persons,148861,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Year of entry,Foreign-born persons,1987 to 1990,23187,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Year of entry,Foreign-born persons,1985 or 1986,11716,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Year of entry,Foreign-born persons,1982 to 1984,11395,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
