year,geography,state,source_family,table_id,table_title,variable_id,variable_path,source_label,value,unit,value_type,universe,publication_or_dataset,printed_page,official_source_url,notes
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Total population,Total population,884118,persons,reported,Total population,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Native population—Percent born in state of residence,Native population—Percent born in state of residence,59.9,percent,reported,Native population,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Foreign-born population—Number,Foreign-born population—Number,222301,persons,reported,Total population,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Foreign-born population—Percent of total population,Foreign-born population—Percent of total population,25.1,percent,reported,Total population,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Foreign-born population—Percent naturalized citizens,Foreign-born population—Percent naturalized citizens,50.8,percent,reported,Foreign-born population,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Population 5 years and over—Number,Population 5 years and over—Number,829455,persons,reported,Population 5 years and over,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Population 5 years and over—Percent living in different house in 1995,Population 5 years and over—Percent living in different house in 1995,37.2,percent,reported,Population 5 years and over,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Speak a language other than English at home—Population 5 to 17 years—Number,Speak a language other than English at home—Population 5 to 17 years—Number,46272,persons,reported,Population 5 to 17 years,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Speak a language other than English at home—Population 5 to 17 years—Percent who speak English less than very well,Speak a language other than English at home—Population 5 to 17 years—Percent who speak English less than very well,24.5,percent,reported,Population 5 to 17 years speaking a language other than English at home,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
2000,Bergen County,New Jersey,PHC-2,Table 1,"Place of Birth, Residence in 1995, and Language: 2000",,Speak a language other than English at home—Population 18 years and over—Number,Speak a language other than English at home—Population 18 years and over—Number,222840,persons,reported,Population 18 years and over,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",New Jersey 1,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,Data based on a sample.
