year,source_period,geography,state,geoid,state_fips,county_fips,dataset,source_family,measurement_type,table_id,table_title,variable_id,source_label,estimate,margin_of_error,unit,universe,concept,source_url,notes
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_001E,Estimate!!Total,254459,3079,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_002E,Estimate!!Total!!Europe,59395,1937,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_003E,Estimate!!Total!!Europe!!Northern Europe,5623,563,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_004E,Estimate!!Total!!Europe!!Northern Europe!!United Kingdom (inc. Crown Dependencies),3042,385,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_005E,"Estimate!!Total!!Europe!!Northern Europe!!United Kingdom (inc. Crown Dependencies)!!United Kingdom, excluding England and Scotland",1329,311,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_006E,Estimate!!Total!!Europe!!Northern Europe!!United Kingdom (inc. Crown Dependencies)!!England,1331,230,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_007E,Estimate!!Total!!Europe!!Northern Europe!!United Kingdom (inc. Crown Dependencies)!!Scotland,382,123,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_008E,Estimate!!Total!!Europe!!Northern Europe!!Ireland,2136,405,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_009E,Estimate!!Total!!Europe!!Northern Europe!!Denmark,66,53,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
2010,2006-2010,Bergen County,New Jersey,05000US34003,34,003,2006-2010 ACS 5-Year Detailed Tables,American Community Survey,survey estimate,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_010E,Estimate!!Total!!Europe!!Northern Europe!!Norway,113,67,persons,Foreign-born population excluding population born at sea,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.
