year,source_period,geography,state,geoid,state_fips,county_fips,source_family,dataset,table_id,table_title,variable_id,source_label,estimate,margin_of_error,estimate_annotation,moe_annotation,unit,universe,source_url,verification_status,notes
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05012,NATIVITY IN THE UNITED STATES,B05012_001E,Estimate!!Total:,931275,-555555555,,*****,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05012.html,retrieved_special_value_flagged,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05012,NATIVITY IN THE UNITED STATES,B05012_002E,Estimate!!Total:!!Native,644627,3614,,,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05012.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05012,NATIVITY IN THE UNITED STATES,B05012_003E,Estimate!!Total:!!Foreign-Born,286648,3614,,,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05012.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,B05001_001E,Estimate!!Total:,931275,-555555555,,*****,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05001.html,retrieved_special_value_flagged,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,B05001_002E,"Estimate!!Total:!!U.S. citizen, born in the United States",627206,3916,,,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05001.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,B05001_003E,"Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas",6636,742,,,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05001.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,B05001_004E,"Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)",10785,1011,,,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05001.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,B05001_005E,Estimate!!Total:!!U.S. citizen by naturalization,184973,3517,,,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05001.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,B05001_006E,Estimate!!Total:!!Not a U.S. citizen,101675,3155,,,persons,Total population,https://api.census.gov/data/2020/acs/acs5/groups/B05001.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_001E,Estimate!!Total:,286648,3614,,,persons,Foreign-born population excluding population born at sea,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
2020,2016-2020,Bergen County,New Jersey,05000US34003,34,003,American Community Survey,2016-2020 ACS 5-Year Estimates,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,B05006_002E,Estimate!!Total:!!Europe:,57406,2511,,,persons,Foreign-born population excluding population born at sea,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,retrieved_and_moe_matched,2016–2020 ACS 5-Year estimate; sample-based period estimate.
