year,geography,state,section,parent_label,standard_variable,source_label,value,source_symbol,unit,value_type,formula,universe,publication,table,table_number,table_title,source_family,table_id,variable_id,variable_path,official_source_url,page,source_file,source_column,definition,comparability_group,comparability_status,extraction_method,verification_status,crosswalk_id,source_concept,cross_decade_relationship,recommended_series_record,counterpart_year,counterpart_section,counterpart_source_label,crosswalk_rationale,crosswalk_review_status,notes
1970,Bergen County,New Jersey,,,foreign_stock_other_not_reported,All other and not reported,62946.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,All other foreign stock and not reported,country_foreign_stock,no,AI_visual,verified,BC-1970-001,foreign stock by origin,not_comparable_different_concept,no,,,,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_austria,Austria,14388.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Austria,country_foreign_stock,no,AI_visual,verified,BC-1970-002,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Austria,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_canada,Canada,9834.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Canada,country_foreign_stock,no,AI_visual,verified,BC-1970-003,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Canada,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_cuba,Cuba,3144.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Cuba,country_foreign_stock,no,AI_visual,verified,BC-1970-004,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Cuba,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_czechoslovakia,Czechoslovakia,8226,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,CEN70.CT4CP.NJ.TXT,Bergen,Foreign stock associated with Czechoslovakia,country_foreign_stock,no,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-005,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Czechoslovakia,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,"Corrected from 9,226 to 8,226 using the machine-readable Fourth Count NT22 record; NT22 sums exactly to the published 352,196 total foreign stock."
1970,Bergen County,New Jersey,,,foreign_born_pct,Derived,10.6227,,percent,derived,foreign_born_population / total_population * 100,Total population,Derived from 1970 Census Table 119,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign-born population divided by total population,foreign_born_pct,yes,calculated,verified,BC-1970-006,foreign-born share of total population,comparable_after_derivation,yes,1980,Nativity and citizenship,Derived from Foreign born / Total persons,The same percentage can be derived from the 1980 nativity counts; the crosswalk does not create or alter a master observation.,carried_from_verified_1970_metadata,"Computed from 95,393 / 898,012 * 100"
1970,Bergen County,New Jersey,,,mother_tongue_english,English,601502.0,,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,English mother tongue,mother_tongue,partial,AI_visual,verified,BC-1970-007,mother tongue,concept_family_only,no,1980,Language spoken at home: age-specific sections,English only,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_born_population,Foreign born,95393.0,,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign-born population,foreign_born_population,yes,AI_visual,verified,BC-1970-008,foreign-born population,direct_core_measure,yes,1980,Nativity and citizenship,Foreign born,Both observations report foreign-born persons within the total population.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,Country of origin and nativity,,foreign_born_country_of_birth_europe,Europe,75188,,persons,derived_exact,United Kingdom + Ireland + Norway + Sweden + Denmark + Netherlands + Switzerland + France + Germany + Poland + Czechoslovakia + Austria + Hungary + Yugoslavia + U.S.S.R. + Lithuania + Finland + Rumania + Greece + Italy + Portugal + Other Europe,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count 4C Population,NT22,NT22_FB_EUROPE_DERIVED,Foreign born!!Europe (sum of 22 European-origin categories),https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Europe (sum of 22 European-origin categories),Europe among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-036,country or region of origin among foreign-born persons,same_broad_region_with_category_caution,yes,1980,Country of birth,Europe,Both observations measure European origins among foreign-born persons; historical country-group definitions should still be reviewed.,generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. Derived by summing all 22 European-origin categories in the foreign-born half of NT22 across Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). The result is 75,188 and NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,Bergen County,New Jersey,Country of origin and nativity,,foreign_born_country_of_birth_africa,Africa,659,,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count 4C Population,NT22,NT22_FB_AFRICA,Foreign born!!Africa,https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Africa,Africa among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-037,country or region of origin among foreign-born persons,same_broad_region_with_category_caution,yes,1980,Country of birth,North Africa + Other Africa,The 1970 NT22 Africa field and the complete 1980 sum of North Africa plus Other Africa both measure African origins among foreign-born persons; historical category definitions should still be reviewed.,generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Africa field and constructed by summing Urban Total (659), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. The Africa value is not printed separately in New Jersey Table 119."
1970,Bergen County,New Jersey,,,mother_tongue_french,French,7521.0,,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,French mother tongue,mother_tongue,partial,AI_visual,verified,BC-1970-009,mother tongue,concept_family_only,no,1980,Language spoken at home: age-specific sections,French,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,mother_tongue_german,German,49828.0,,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,German mother tongue,mother_tongue,partial,AI_visual,verified,BC-1970-010,mother tongue,concept_family_only,no,1980,Language spoken at home: age-specific sections,German,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_germany,Germany,41753.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Germany,country_foreign_stock,no,AI_visual,verified,BC-1970-011,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Germany,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,Table footnote includes West Germany and East Germany
1970,Bergen County,New Jersey,,,foreign_stock_hungary,Hungary,8134.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Hungary,country_foreign_stock,no,AI_visual,verified,BC-1970-012,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Hungary,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_ireland,Ireland,22496.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Ireland,country_foreign_stock,no,AI_visual,verified,BC-1970-013,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Ireland,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_italy,Italy,91390.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Italy,country_foreign_stock,no,AI_visual,verified,BC-1970-014,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Italy,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,Not equivalent to foreign-born persons born in Italy
1970,Bergen County,New Jersey,,,foreign_stock_mexico,Mexico,578.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Mexico,country_foreign_stock,no,AI_visual,verified,BC-1970-015,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Mexico,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,native_foreign_mixed_parentage,Native of foreign or mixed parentage,256803.0,,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Native population of foreign or mixed parentage,nativity_parentage,partial,AI_visual,verified,BC-1970-016,native population by parental nativity,concept_family_only,no,1980,Nativity and citizenship,Native,1970 subdivides native persons by parental nativity; 1980 Table 172 provides a single Native total.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,native_native_parentage,Native of native parentage,545816.0,,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Native population of native parentage,nativity_parentage,partial,AI_visual,verified,BC-1970-017,native population by parental nativity,concept_family_only,no,1980,Nativity and citizenship,Native,1970 subdivides native persons by parental nativity; 1980 Table 172 provides a single Native total.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,mother_tongue_other,Other,223875.0,,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Other mother tongue,mother_tongue,partial,AI_visual,verified,BC-1970-018,mother tongue,concept_family_only,no,,,,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_other_america,Other America,8449.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with other America,country_foreign_stock,no,AI_visual,verified,BC-1970-019,foreign stock by origin,not_comparable_different_concept,no,,,,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
