crosswalk_id,source_year,geography,source_table,source_section,source_parent_label,source_label,source_universe,source_unit,source_concept,standard_variable,comparability_group,comparability_status,cross_decade_relationship,recommended_series_record,counterpart_year,counterpart_section,counterpart_source_label,rationale,crosswalk_review_status,source_file,notes
BC-1970-001,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,All other and not reported,Foreign stock,persons,foreign stock by origin,foreign_stock_other_not_reported,country_foreign_stock,no,not_comparable_different_concept,no,,,,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-002,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Austria,Foreign stock,persons,foreign stock by origin,foreign_stock_austria,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Austria,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-003,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Canada,Foreign stock,persons,foreign stock by origin,foreign_stock_canada,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Canada,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-004,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Cuba,Foreign stock,persons,foreign stock by origin,foreign_stock_cuba,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Cuba,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-005,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Czechoslovakia,Foreign stock,persons,foreign stock by origin,foreign_stock_czechoslovakia,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Czechoslovakia,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,CEN70.CT4CP.NJ.TXT,
BC-1970-006,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Derived,Total population,percent,foreign-born share of total population,foreign_born_pct,foreign_born_pct,yes,comparable_after_derivation,yes,1980,Nativity and citizenship,Derived from Foreign born / Total persons,The same percentage can be derived from the 1980 nativity counts; the crosswalk does not create or alter a master observation.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,"Computed from 95,393 / 898,012 * 100"
BC-1970-007,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,English,Mother tongue section,persons,mother tongue,mother_tongue_english,mother_tongue,partial,concept_family_only,no,1980,Language spoken at home: age-specific sections,English only,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-008,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Foreign born,Total population,persons,foreign-born population,foreign_born_population,foreign_born_population,yes,direct_core_measure,yes,1980,Nativity and citizenship,Foreign born,Both observations report foreign-born persons within the total population.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-009,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,French,Mother tongue section,persons,mother tongue,mother_tongue_french,mother_tongue,partial,concept_family_only,no,1980,Language spoken at home: age-specific sections,French,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-010,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,German,Mother tongue section,persons,mother tongue,mother_tongue_german,mother_tongue,partial,concept_family_only,no,1980,Language spoken at home: age-specific sections,German,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-011,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Germany,Foreign stock,persons,foreign stock by origin,foreign_stock_germany,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Germany,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,Table footnote includes West Germany and East Germany
BC-1970-012,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Hungary,Foreign stock,persons,foreign stock by origin,foreign_stock_hungary,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Hungary,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
